iter	Logloss
0	0.662984958
1	0.6421011022
2	0.6189315742
3	0.5858774431
4	0.5686405778
5	0.5498092337
6	0.5362636245
7	0.5270466662
8	0.4988442137
9	0.4775627767
10	0.4643254039
11	0.451058156
12	0.4299856302
13	0.4210363075
14	0.4097894291
15	0.3909408956
16	0.385745728
17	0.3802682915
18	0.3703639247
19	0.363048098
20	0.3541352884
21	0.3497471261
22	0.3436616443
23	0.3324254606
24	0.3295215322
25	0.3261508314
26	0.3208256677
27	0.3190249342
28	0.3154094422
29	0.3059190281
30	0.2949961083
31	0.292415564
32	0.2861717848
33	0.2817593373
34	0.2781853942
35	0.2665968437
36	0.260200035
37	0.2567383974
38	0.2526266251
39	0.2462037404
40	0.2433082143
41	0.2407960266
42	0.2363033411
43	0.234314254
44	0.2286343333
45	0.224031684
46	0.2211661061
47	0.2187147185
48	0.2154696036
49	0.2130703681
50	0.2072309785
51	0.2028512194
52	0.1998645079
53	0.1933345878
54	0.1901318898
55	0.1874394528
56	0.1857257842
57	0.1813011549
58	0.1790045239
59	0.1731606099
60	0.1696176117
61	0.1670621088
62	0.1644902822
63	0.1625822636
64	0.1607628406
65	0.1575932179
66	0.1552528463
67	0.1520457555
68	0.149401193
69	0.1477235617
70	0.1450049926
71	0.1408798705
72	0.1400823266
73	0.1353950752
74	0.134186465
75	0.1322082708
76	0.1296948666
77	0.1273264245
78	0.1265507846
79	0.1255819608
80	0.1243489258
81	0.1221172329
82	0.1198714099
83	0.1175684431
84	0.1151633435
85	0.1138649864
86	0.1127291541
87	0.1110644769
88	0.1098888348
89	0.1085598979
90	0.1074983974
91	0.1053976617
92	0.1039012841
93	0.1014317923
94	0.1010297955
95	0.1000325006
96	0.09796359675
97	0.0974365666
98	0.09657579752
99	0.09558389248
100	0.0938642636
101	0.09245802491
102	0.09033441069
103	0.08822869765
104	0.08643124172
105	0.08565472872
106	0.08492906547
107	0.08291959746
108	0.08033634392
109	0.07972303002
110	0.0785480959
111	0.07737137182
112	0.07622629448
113	0.0757555115
114	0.07509329444
115	0.07459167358
116	0.072992932
117	0.07238370525
118	0.07083249337
119	0.06890475657
120	0.06786758927
121	0.06728175606
122	0.06626541264
123	0.06565982173
124	0.06499854212
125	0.06408511192
126	0.06290469574
127	0.06189357586
128	0.06158328489
129	0.06077059181
130	0.06033141378
131	0.05915533472
132	0.05875662276
133	0.05777276488
134	0.05700067526
135	0.05668926714
136	0.05616272151
137	0.05460913762
138	0.05418781306
139	0.0525764424
140	0.05209622563
141	0.05142750019
142	0.05013676311
143	0.04941998004
144	0.04901839592
145	0.04831154799
146	0.04801249633
147	0.04760218235
148	0.0464840236
149	0.04620950151
150	0.04517348163
151	0.04464484367
152	0.04438834311
153	0.04414246014
154	0.04365842209
155	0.043035705
156	0.04211967324
157	0.04188847548
158	0.04144491189
159	0.04087991836
160	0.04034530637
161	0.0399752843
162	0.03976353756
163	0.03896562289
164	0.03866456503
165	0.03832983329
166	0.03796132883
167	0.03776922657
168	0.03729990967
169	0.03711642865
170	0.03693951607
171	0.03623164755
172	0.03577477205
173	0.03541912747
174	0.03499720037
175	0.03483254219
176	0.03443358346
177	0.03427617626
178	0.03394428907
179	0.03356843136
180	0.0333049788
181	0.03315878555
182	0.0328462538
183	0.03249399092
184	0.03190189379
185	0.03145445883
186	0.03131780778
187	0.03099854679
188	0.0308665882
189	0.03052020796
190	0.02999984903
191	0.02972931133
192	0.02960391187
193	0.02931373533
194	0.02910454301
195	0.02898627109
196	0.02873417993
197	0.02825886186
198	0.02814588475
199	0.02787869476
200	0.02764375899
201	0.02720501891
202	0.02709716022
203	0.02684869224
204	0.02674511275
205	0.02650625081
206	0.02628820783
207	0.02611166837
208	0.02601407986
209	0.02561504415
210	0.02540952884
211	0.02531569258
212	0.02509658384
213	0.0250066096
214	0.02479693237
215	0.02459981251
216	0.02444534036
217	0.0242463375
218	0.02416014524
219	0.02381067797
220	0.02372737011
221	0.0235448227
222	0.02335727642
223	0.02327608001
224	0.02310127518
225	0.0229215943
226	0.02278445458
227	0.02270752729
228	0.02253705328
229	0.02222768936
230	0.02215347127
231	0.02199030381
232	0.02182799303
233	0.02159655424
234	0.02152623634
235	0.02117821938
236	0.02110944413
237	0.02096089139
238	0.02081269304
239	0.02074611061
240	0.02060475842
241	0.02053914676
242	0.02040223192
243	0.02025982624
244	0.02014784727
245	0.01989106454
246	0.01983020977
247	0.0196959431
248	0.01956534884
249	0.01950678703
250	0.01944939485
251	0.01932416779
252	0.01926854281
253	0.01905476094
254	0.01900091852
255	0.01882898372
256	0.01872560108
257	0.01860734015
258	0.0185132217
259	0.0183996815
260	0.01830282811
261	0.01819121177
262	0.01814015905
263	0.01803290499
264	0.01798189513
265	0.01788639589
266	0.01783731581
267	0.01772074174
268	0.01762789677
269	0.01757975421
270	0.01753344496
271	0.01742207509
272	0.01733140414
273	0.0172859295
274	0.0172413717
275	0.01714479021
276	0.01710142753
277	0.01692807996
278	0.01688484202
279	0.01678097467
280	0.01668954153
281	0.01652620141
282	0.01644655397
283	0.01635641654
284	0.0162825726
285	0.01624269294
286	0.01620318568
287	0.01616449108
288	0.01607910085
289	0.0159276057
290	0.01588988133
291	0.01575817138
292	0.01566343722
293	0.01553746726
294	0.0154335752
295	0.01539698593
296	0.0153609288
297	0.01524129536
298	0.01512584635
299	0.01502651487
